sa3_code,Area_Label,Census_Year,Estimated_Resident_Population,Population_Density_Per_Km2,Estimated resident population - males (no.),Estimated resident population - females (no.),Median_Age_Males,Median_Age_Females,Median_Age_Overall,Males - 85 and over (no.),Females - 85 and over (no.),Number_of_Births,Number_of_Deaths,Standardised_Death_Rate,Overseas_Arrivals,Overseas_Departures,Net_Overseas_Migration,Indigenous_Population,Indigenous_Population_Percent,Born_in_Oceania_Excluding_Australia_Percent,Born_in_North_West_Europe_Percent,Born_in_Southern_Eastern_Europe_Percent,Born_in_North_Africa_Middle_East_Percent,Born_in_South_East_Asia_Percent,Born_in_North_East_Asia_Percent,Born_in_Southern_Central_Asia_Percent,Born_in_Americas_Percent,Born_in_Sub_Saharan_Africa_Percent,Total_Born_Overseas,Total_Born_Overseas_Percent,Number_of_Australian_Citizens,Number_of_Non_Australian_Citizens,Australian_Citizenship_Not_Stated,Australian_Citizen_Percent,Non_Australian_Citizen_Percent,Australian_Citizenship_Not_Stated_Percent,Speaks_Other_Language_At_Home,Speaks_Other_Language_At_Home_Percent,Males_Under_14,Females_Under_14,Males_15_to_24,Females_15_to_24,Males_25_to_34,Females_25_to_34,Males_35_to_44,Females_35_to_44,Males_45_to_54,Females_45_to_54,Males_55_to_64,Females_55_to_64,Males_65_to_74,Females_65_to_74,Males_75_to_84,Females_75_to_84,Males_85_and_over,Females_85_and_over
10500,Bayside (NSW),2021,176061.00,3478.10,88307.00,87754.00,34.90,36.40,35.60,1546.00,2212.00,2536.00,1041.00,4.70,3382.00,2566.00,816.00,1962.00,1.10,2.30,3.90,8.30,4.40,8.00,9.80,6.30,4.30,0.80,84027.00,48.00,128286.00,37926.00,8978.00,73.20,21.60,5.10,90153.00,51.50,13734.0,12975.0,11572.0,10443.0,19001.0,18289.0,13627.0,12984.0,10106.0,10448.0,8473.0,8875.0,6308.0,6927.0,3940.0,4601.0,1546.00,2212.00
10500,Bayside (NSW),2022,177629.00,3509.00,,,,,,,,,,,5710.00,2856.00,2854.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10550,Bega Valley,2011,,,,,,,,,,,,,,,,909.00,2.80,,,,,,,,,,,,29374.00,1007.00,1569.00,91.90,3.20,4.90,914.00,2.90,,,,,,,,,,,,,,,,,,
10550,Bega Valley,2016,,,,,,,,,,271.00,349.00,5.80,,,,1042.00,3.10,1.30,7.00,0.70,0.10,0.80,0.30,0.20,0.70,0.40,3856.00,11.60,29762.00,1041.00,2453.00,89.50,3.10,7.40,1002.00,3.00,,,,,,,,,,,,,,,,,,
10550,Bega Valley,2017,34269.00,5.50,16832.00,17437.00,49.90,50.70,50.30,399.00,599.00,292.00,380.00,6.10,144.00,54.00,90.00,,,,,,,,,,,,,,,,,,,,,,2840.0,2687.0,1684.0,1553.0,1387.0,1495.0,1519.0,1692.0,2180.0,2415.0,2963.0,3172.0,2604.0,2496.0,1256.0,1328.0,399.00,599.00
10550,Bega Valley,2018,34638.00,5.50,17081.00,17557.00,50.00,50.70,50.30,412.00,575.00,344.00,398.00,6.20,138.00,59.00,79.00,,,,,,,,,,,,,,,,,,,,,,2867.0,2697.0,1679.0,1563.0,1483.0,1565.0,1526.0,1689.0,2129.0,2343.0,2986.0,3168.0,2694.0,2602.0,1305.0,1355.0,412.00,575.00
10550,Bega Valley,2019,34976.00,5.60,17283.00,17693.00,50.10,51.00,50.60,430.00,591.00,292.00,353.00,6.00,142.00,65.00,77.00,,,,,,,,,,,,,,,,,,,,,,2878.0,2708.0,1689.0,1540.0,1533.0,1603.0,1568.0,1681.0,2046.0,2278.0,3018.0,3237.0,2772.0,2663.0,1349.0,1392.0,430.00,591.00
10550,Bega Valley,2020,35361.00,5.60,17487.00,17874.00,50.50,51.60,51.10,452.00,578.00,305.00,345.00,5.70,125.00,76.00,49.00,,,,,,,,,,,,,,,,,,,,,,2891.0,2721.0,1619.0,1493.0,1561.0,1569.0,1598.0,1700.0,2032.0,2267.0,2998.0,3292.0,2923.0,2833.0,1413.0,1421.0,452.00,578.00
10550,Bega Valley,2021,35761.00,5.70,17731.00,18030.00,51.10,52.30,51.70,470.00,580.00,290.00,390.00,5.60,57.00,45.00,12.00,1386.00,3.90,1.30,6.70,0.80,0.20,0.90,0.30,0.50,0.90,0.50,4360.00,12.10,32427.00,1265.00,2239.00,90.20,3.50,6.20,1193.00,3.30,2885.0,2674.0,1606.0,1469.0,1547.0,1544.0,1613.0,1742.0,2074.0,2247.0,2942.0,3324.0,3102.0,2963.0,1492.0,1487.0,470.00,580.00
10550,Bega Valley,2022,35972.00,5.70,,,,,,,,,,,147.00,70.00,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
