State_and_territory,SA3_name,Year,Participation_Per
NSW,Lord Howe Island,2017,41.38559471
NSW,Port Macquarie,2017,43.6
NSW,Taree - Gloucester,2017,45.7
NSW,Albury,2017,43.8
NSW,Lower Murray,2017,40.5
NSW,Upper Murray exc. Albury,2017,45.3
NSW,Armidale,2017,43
NSW,Inverell - Tenterfield,2017,38.9
NSW,Moree - Narrabri,2017,31.5
NSW,Tamworth - Gunnedah,2017,39.3
NSW,Lake Macquarie - East,2017,43.9
NSW,Lake Macquarie - West,2017,43.2
NSW,Newcastle,2017,41.1
NSW,Richmond Valley - Coastal,2017,40.5
NSW,Richmond Valley - Hinterland,2017,39.4
NSW,Tweed Valley,2017,41
NSW,Griffith - Murrumbidgee (West),2017,36.9
NSW,Tumut - Tumbarumba,2017,42.3
NSW,Wagga Wagga,2017,40.2
NSW,Shoalhaven,2017,44.7
NSW,Southern Highlands,2017,42
NSW,Baulkham Hills,2017,40.8
NSW,Dural - Wisemans Ferry,2017,37.3
NSW,Hawkesbury,2017,39.2
NSW,Rouse Hill - McGraths Hill,2017,36.2
NSW,Blacktown,2017,33.1
NSW,Blacktown - North,2017,34.3
NSW,Mount Druitt,2017,27.8
NSW,Botany,2017,32.7
NSW,Marrickville - Sydenham - Petersham,2017,35
NSW,Sydney Inner City,2017,33.2
NSW,Eastern Suburbs - North,2017,31.8
NSW,Eastern Suburbs - South,2017,34.7
NSW,Bankstown,2017,33.9
NSW,Canterbury,2017,31.5
NSW,Hurstville,2017,37.6
NSW,Kogarah - Rockdale,2017,33.7
