State/territory,SA3 code,SA3 name,Participated,Invited,Participation (%),Year
Qld,31605,Noosa,"6,505","14,974",43.4,2020-2021
Qld,31606,Sunshine Coast Hinterland,"6,644","16,057",41.4,2020-2021
Qld,31607,Nambour,"5,396","13,618",39.6,2020-2021
Qld,31608,Noosa Hinterland,"3,282","7,551",43.5,2020-2021
Qld,31701,Toowoomba,"14,143","36,330",38.9,2020-2021
Qld,31801,Charters Towers - Ayr - Ingham,"3,188","10,093",31.6,2020-2021
Qld,31802,Townsville,"14,149","43,613",32.4,2020-2021
Qld,31901,Bundaberg,"10,678","25,551",41.8,2020-2021
Qld,31902,Burnett,"5,903","15,190",38.9,2020-2021
Qld,31903,Gympie - Cooloola,"5,967","14,842",40.2,2020-2021
Qld,31904,Hervey Bay,"7,972","18,056",44.2,2020-2021
Qld,31905,Maryborough,"6,949","16,617",41.8,2020-2021
WA,50101,Augusta - Margaret River - Busselton,"7,540","15,437",48.8,2020-2021
WA,50102,Bunbury,"12,150","28,232",43,2020-2021
WA,50103,Manjimup,"3,659","7,760",47.2,2020-2021
WA,50201,Mandurah,"13,247","29,651",44.7,2020-2021
WA,50301,Cottesloe - Claremont,"7,885","17,398",45.3,2020-2021
WA,50302,Perth City,"10,604","26,251",40.4,2020-2021
WA,50401,Bayswater - Bassendean,"8,094","19,980",40.5,2020-2021
WA,50402,Mundaring,"5,196","12,208",42.6,2020-2021
WA,50403,Swan,"11,933","31,625",37.7,2020-2021
WA,50501,Joondalup,"21,784","45,318",48.1,2020-2021
WA,50502,Stirling,"19,326","45,064",42.9,2020-2021
WA,50503,Wanneroo,"17,562","44,392",39.6,2020-2021
